name,price,image,airflow,color,noise_level,pwm,rpm,size,rating
ARCTIC P12 5-Pack,18.94,https://cdna.pcpartpicker.com/static/forever/images/product/eaa12e42df4b0de6e4e6fb13480f4c5e.256p.jpg,56.3 CFM,Black,,No,1800 RPM,120 mm,4.5
Thermaltake CT120 EX Reverse ARGB Sync 3-Pack,58.8,https://cdna.pcpartpicker.com/static/forever/images/product/c2d0cfbfe8fb51a82c9e72dfede9c028.256p.jpg,65.82 CFM,Black,31.2 dB,Yes,500 - 2000 RPM,120 mm,5
ARCTIC P8 Max,11.99,https://cdna.pcpartpicker.com/static/forever/images/product/68f393ff83bf02a2ee31f05169bb783c.256p.jpg,40 CFM,Black,25.3 dB,Yes,500 - 5000 RPM,80 mm,3
Corsair RS140 2-Pack,30.46,https://cdna.pcpartpicker.com/static/forever/images/product/618632ad4d7dc67cd7331ed7f78d22cd.256p.jpg,14.6 - 95.5 CFM,Black,10 - 36 dB,Yes,330 - 1700 RPM,140 mm,3
Thermalright TL-C12C,6,,66.17 CFM,Black,25.6 dB,Yes,1550 RPM,120 mm,4.5
ARCTIC F12,4,https://cdna.pcpartpicker.com/static/forever/images/product/54a593a51545a46537cdbd24fad75231.256p.jpg,53 CFM,Black,22.5 dB,No,1350 RPM,120 mm,5
Montech RX120,10.47,https://cdna.pcpartpicker.com/static/forever/images/product/3121276562b9256673a3cbcf013ab3e9.256p.jpg,59 CFM,Black,27 dB,Yes,800 - 1600 RPM,120 mm,4.5
ARCTIC P14 Slim PWM PST,11.99,https://cdna.pcpartpicker.com/static/forever/images/product/34abd1b1efb76bebb56165484b799615.256p.jpg,52 CFM,Black,,Yes,150 - 1800 RPM,140 mm,5
ARCTIC P14 Pro A-RGB 3-Pack,34.99,,110 CFM,Black,,Yes,400 - 2500 RPM,140 mm,4
Thermalright TL-M12QW,,,68.9 CFM,White,28.2 dB,Yes,2000 RPM,120 mm,0
Phanteks M25G2-120 3-Pack,13.99,https://cdna.pcpartpicker.com/static/forever/images/product/7382a270385b53e4d2ae99b12a29ead4.256p.jpg,72.72 CFM,Black,35.13 dB,Yes,350 - 2000 RPM,120 mm,5
Thermalright TL-M12QRW-S X3 3-Pack,18.89,,47.6 CFM,White,23.2 dB,Yes,1500 RPM,120 mm,0
