name,price,image,type,frequency_response,microphone,wireless,enclosure_type,color,rating
Sony MDR-7506,79.98,https://cdna.pcpartpicker.com/static/forever/images/product/b19c00df130eb0f0e7e90f4878feec46.256p.jpg,Circumaural,10 Hz - 20 kHz,No,No,Closed,Black,4.5
Razer Kraken X,38.99,https://cdna.pcpartpicker.com/static/forever/images/product/73bbeea43dd6ff8d8356991684fa1a8d.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Black,4
Razer BlackShark V2 Pro,199,https://cdna.pcpartpicker.com/static/forever/images/product/19d7c4ecc7524512e8878280132ab426.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,Yes,Closed,Black,4.5
DROP Drop + Sennheiser PC38X,,Circumaural,Circumaural,10 Hz - 30 kHz,Yes,No,Open,Black,4
Apple AirPods Max (2024),449.99,https://cdna.pcpartpicker.com/static/forever/images/product/a88c0382f2005f36be989f72013b3cc4.256p.jpg,Circumaural,true,Yes,Yes,Closed,Black,0
Logitech G935,110.21,https://cdna.pcpartpicker.com/static/forever/images/product/153b223886e6e0bd0e9a89c1dbbc66be.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Blue,4.5
SteelSeries Arctis Nova 5x,99.98,https://cdna.pcpartpicker.com/static/forever/images/product/c9185f697633256768eab61ce930f412.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,Yes,Closed,Black / Green,0
Turtle Beach Recon 50P,14.99,https://cdna.pcpartpicker.com/static/forever/images/product/0fc335e47c1779d11edf69836f6669a5.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,0
Adesso Xtream G1,33.24,https://cdna.pcpartpicker.com/static/forever/images/product/f9bb8dba931c7c5bb9c7112599edda19.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,0
Rosewill Audiowave H9000,52.73,https://cdna.pcpartpicker.com/static/forever/images/product/de5d39d0f32ba113881a39bc5fc1d1e9.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black,0
HP HyperX CloudX,49.99,Circumaural,Circumaural,15 Hz - 25 kHz,Yes,No,Closed,Black / Silver,4.5
Sennheiser HD 569,107,https://cdna.pcpartpicker.com/static/forever/images/product/a274cf778375dd8b2f17f1e5e941b561.256p.jpg,Circumaural,10 Hz - 28 kHz,Yes,No,Closed,Black,4.5
Corsair HS35 v3 Wireless,69.98,https://cdna.pcpartpicker.com/static/forever/images/product/fa9d06564f4ca4b15449d47e1d09c78c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Philips SHP9600/00,74.98,https://cdna.pcpartpicker.com/static/forever/images/product/fdfab88c9ef04adbeede51205bcf79e1.256p.jpg,Circumaural,12 Hz - 35 kHz,No,No,Open,Black / Copper,3.5
Razer Kraken V4,156.99,https://cdna.pcpartpicker.com/static/forever/images/product/fadad12f6562b7fd2552822ce3770471.256p.jpg,Circumaural,20 Hz - 28 kHz,Yes,Yes,Open,Black,0
JBL Quantum 910,299.95,https://cdna.pcpartpicker.com/static/forever/images/product/621d19a498d3ccd2201da25c845132d9.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Asus ROG Delta White Edition,,https://cdna.pcpartpicker.com/static/forever/images/product/3cf63f873a3972057a8d9dcb202fa5a8.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,No,Closed,White,0
Moondrop ARIA,,In Ear,In Ear,5 Hz - 36 kHz,No,No,Closed,Black,4.5
Sennheiser GAME ZERO,,Circumaural,Circumaural,10 Hz - 26 kHz,Yes,No,Closed,Black / Red,5
Corsair HS35 v2,29.99,https://cdna.pcpartpicker.com/static/forever/images/product/140c6373f8302e30a7a655787fe1aaa7.256p.jpg,Circumaural,true,Yes,No,Closed,Black,0
Syba CM-5023,9.99,Supra-aural,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
